filename,product_name,color,category,audience,fabric,price,stock
IMG_001.jpg,Legging Clásico,Negro,leggings,mujer,suplex,45.00,10
IMG_002.jpg,Legging Clásico,Fucsia,leggings,mujer,suplex,45.00,10
IMG_003.jpg,Biker Deportivo,Verde,bikers,mujer,suplex,42.00,15
IMG_004.jpg,Top Cruzado,Blanco,tops,mujer,suplex,35.00,20
IMG_005.jpg,Body Manga Larga,Negro,bodys,mujer,suplex,48.00,8
IMG_006.jpg,Short Tiro Alto,Azul,shorts,mujer,suplex,38.00,12
IMG_007.jpg,Conjunto 2 Piezas,Rosa,conjuntos,mujer,suplex,75.00,5
IMG_008.jpg,Legging Niña,Morado,leggings,nina,suplex,38.00,15
IMG_009.jpg,Top Deportivo Niña,Celeste,tops,nina,suplex,28.00,20
IMG_010.jpg,Buzo Oversized,Gris,buzos,mujer,french-terry,65.00,10
